Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/08/2000,Isle of Wight,E06000046,75050,27.8,,0.8,24,,338,122124,28.5,1,25,78788,26.7,0.8,24.2,58446,25.8,0.4,21.7,49345,31.2,0.8,24.9,,,,,,,,,,,,,,,,,,,87257,27.7,0.8,22.7,20,74875,27.8,0.8,24.1,318
01/09/2000,Isle of Wight,E06000046,75506,28,,0.6,21.1,,305,123475,28.8,1.1,22.3,79106,26.8,0.4,21.2,58629,25.8,0.3,18.8,49575,31.3,0.5,21.9,,,,,,,,,,,,,,,,,,,87625,27.8,0.4,20.5,27,75339,28,0.6,21.2,278
01/10/2000,Isle of Wight,E06000046,76598,28.4,,1.4,20.3,,338,125073,29.2,1.3,21.2,80298,27.2,1.5,20.5,59307,26.1,1.2,18.2,50519,31.9,1.9,21.1,,,,,,,,,,,,,,,,,,,89258,28.3,1.9,20.2,39,76406,28.4,1.4,20.3,299
01/11/2000,Isle of Wight,E06000046,79409,29.4,,3.7,21.8,,318,129943,30.4,3.9,22.9,83118,28.2,3.5,21.7,61370,27,3.5,19.7,52420,33.1,3.8,22.2,,,,,,,,,,,,,,,,,,,92908,29.5,4.1,22.2,13,79188,29.4,3.6,21.7,305
01/12/2000,Isle of Wight,E06000046,79114,29.3,,-0.4,20.6,,299,128997,30.1,-0.7,21.8,82877,28.1,-0.3,20.7,61083,26.9,-0.5,18.3,52501,33.2,0.2,21,,,,,,,,,,,,,,,,,,,93419,29.6,0.6,21.1,28,78840,29.3,-0.4,20.6,271
01/01/2001,Isle of Wight,E06000046,80601,29.9,,1.9,21.6,,223,131237,30.7,1.7,22.5,84325,28.6,1.7,21.5,62391,27.5,2.1,19.6,53547,33.8,2,22.6,,,,,,,,,,,,,,,,,,,96079,30.5,2.8,23.6,21,80268,29.8,1.8,21.5,202
01/02/2001,Isle of Wight,E06000046,79684,29.5,,-1.1,18.7,,223,129132,30.2,-1.6,18.8,83511,28.3,-1,18.8,61888,27.3,-0.8,17.2,52992,33.5,-1,19.9,,,,,,,,,,,,,,,,,,,95916,30.4,-0.2,21.1,18,79298,29.5,-1.2,18.5,205
01/03/2001,Isle of Wight,E06000046,80492,29.8,,1,18.4,,297,130385,30.5,1,18.1,84475,28.7,1.2,18.4,62656,27.6,1.2,17.2,53329,33.7,0.6,20,,,,,,,,,,,,,,,,,,,97003,30.8,1.1,21.4,26,80095,29.7,1,18.2,271
01/04/2001,Isle of Wight,E06000046,79360,29.4,,-1.4,14.4,,307,128594,30,-1.4,14.7,83216,28.2,-1.5,14.5,61816,27.2,-1.3,13.2,52575,33.2,-1.4,15.4,,,,,,,,,,,,,,,,,,,95417,30.3,-1.6,17,21,78983,29.3,-1.4,14.2,286
01/05/2001,Isle of Wight,E06000046,80590,29.9,,1.6,14.3,,341,130635,30.5,1.6,14.8,84504,28.7,1.5,14.2,62809,27.7,1.6,13.3,53328,33.7,1.4,14.9,,,,,,,,,,,,,,,,,,,95676,30.3,0.3,15.9,26,80285,29.8,1.6,14.2,315
01/06/2001,Isle of Wight,E06000046,81642,30.3,,1.3,11.1,,364,131972,30.8,1,11.3,85497,29,1.2,11,63639,28,1.3,10.4,54350,34.4,1.9,11.8,,,,,,,,,,,,,,,,,,,96884,30.7,1.3,13,35,81335,30.2,1.3,11,329
